Dataset,Model,scaled,noise_percentage,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
data_N_BaIoT.csv,DIF,StandardScaler,0,55.42142747690795,93.54137762747979,52.98866308658875,0.10266954966744732,0.6657349638133266,0.9363285363285363,0.5164762826718297,0.7828617095947266,58.34123468399048
data_N_BaIoT.csv,DIF,StandardScaler,0,55.42142747690795,93.54137762747979,52.98866308658875,0.10266954966744732,0.6657349638133266,0.9363285363285363,0.5164762826718297,0.7904202938079834,58.39034295082092
data_N_BaIoT.csv,DIF,StandardScaler,1,57.0373445249018,93.9918560052131,52.64469481590678,0.09085884422685771,0.6632892438233092,0.9328887328887329,0.5145788964181994,0.5090742111206055,58.656293630599976
data_N_BaIoT.csv,DIF,StandardScaler,3,52.88641957197915,92.56218523878508,51.05822891439402,0.03638497831719955,0.6520089842775143,0.917023517023517,0.5058276863504356,0.5076580047607422,59.1638708114624
data_N_BaIoT.csv,DIF,StandardScaler,5,55.09160639627477,93.08049214810113,51.05120915376785,0.036143943512289556,0.6519590716246568,0.9169533169533169,0.5057889641819941,0.5166685581207275,59.422876834869385
data_N_BaIoT.csv,DIF,QuantileTransformer,0,30.352913271839142,85.79779076476702,43.58938351355147,-0.22054037609060081,0.5990217608305051,0.8427187192809998,0.46465350367789393,0.5078482627868652,61.65602111816406
data_N_BaIoT.csv,DIF,QuantileTransformer,1,32.91834529928892,87.06460534262956,43.72279174273277,-0.2159508173329651,0.5999700539029746,0.8440528015728128,0.4653890824622532,0.517301082611084,61.471317768096924
data_N_BaIoT.csv,DIF,QuantileTransformer,3,27.100043440955456,84.65842031577434,43.72279174273277,-0.2159508173329651,0.5999700539029746,0.8440528015728128,0.4653890824622532,0.5158534049987793,61.81210994720459
data_N_BaIoT.csv,DIF,QuantileTransformer,5,25.066646419505428,83.75412578906018,42.95744979637691,-0.24228039125834896,0.5945298462767019,0.8363993821092544,0.4611691831204026,0.5303757190704346,61.74416255950928
data_N_BaIoT.csv,DIF,MinMaxScaler,0,48.74338429718756,90.94948457237817,52.65171457653294,0.09109987903176771,0.6633391564761667,0.932958932958933,0.5146176185866409,0.5149238109588623,48.655616998672485
data_N_BaIoT.csv,DIF,MinMaxScaler,1,42.63644807620104,90.14790824017842,48.952300726545225,-0.03592546315579801,0.6370351884202645,0.895963495963496,0.4942110358180058,0.5038566589355469,49.21424055099487
data_N_BaIoT.csv,DIF,MinMaxScaler,3,40.91684247296094,88.9048801251972,49.738513916675444,-0.008929565005878925,0.6426254055403045,0.9038259038259038,0.4985479186834463,0.5240564346313477,49.11245012283325
data_N_BaIoT.csv,DIF,MinMaxScaler,5,44.70548421229218,89.84397751833832,50.20181811800217,0.00697873211818054,0.6459196406288994,0.9084591084591085,0.5011035818005808,0.5162019729614258,49.451618909835815
data_N_BaIoT.csv,DIF,Normalizer,0,4.040178970202376,76.63513929338053,40.74620055456109,-0.3176951500955785,0.5786872972298478,0.8138996138996138,0.44894482090997095,0.5140280723571777,55.384995460510254
data_N_BaIoT.csv,DIF,Normalizer,1,2.753201369074117,76.49280511488207,40.73918079393493,-0.3179361849004885,0.5786373845769903,0.8138294138294139,0.44890609874152954,0.5121090412139893,55.447264671325684
data_N_BaIoT.csv,DIF,Normalizer,3,4.576816517779009,76.90838850081606,40.71110175143028,-0.3189003241201285,0.5784377339655603,0.8135486135486135,0.4487512100677638,0.5146195888519287,55.60361862182617
data_N_BaIoT.csv,DIF,Normalizer,5,6.474780844291421,77.48093274231331,40.774279597065735,-0.3167310108759385,0.5788869478412778,0.8141804141804142,0.4490997095837367,0.5255730152130127,55.041964054107666
data_N_BaIoT.csv,DIF,RobustScaler,0,60.05182103851229,94.34578678294491,55.83166614018462,0.20028864565599402,0.6859495882206139,0.9647595647595648,0.5321587608906099,0.5055625438690186,52.70176553726196
data_N_BaIoT.csv,DIF,RobustScaler,1,59.47295076431256,94.30522276350958,56.28093082025904,0.2157148731702335,0.6891439980034939,0.9692523692523692,0.5346369796708615,0.5179879665374756,52.097118854522705
data_N_BaIoT.csv,DIF,RobustScaler,3,65.59139034516616,95.13917065884073,55.543855954511955,0.19040621865468435,0.6839031694534564,0.9618813618813619,0.5305711519845111,0.5108625888824463,52.79871082305908
data_N_BaIoT.csv,DIF,RobustScaler,5,55.87832364673937,93.55224763985657,54.122354427714015,0.14169463431267676,0.673787716189573,0.9476972760460545,0.5227105517909003,0.5210788249969482,52.72682976722717
data_CICIoT2023.csv,DIF,StandardScaler,0,64.03816931246217,98.39808040000668,51.508959973203815,0.08829392012303634,0.6700850026207242,0.9849266429959135,0.5077709470194101,0.38504791259765625,64.20363974571228
data_CICIoT2023.csv,DIF,StandardScaler,1,66.1239685407072,98.44116552783275,51.52905710936192,0.08946864068371113,0.6702217360588866,0.9851276210893013,0.5078745596463355,0.3844771385192871,65.00264501571655
data_CICIoT2023.csv,DIF,StandardScaler,3,67.8144451564911,98.52988606463684,51.462066655501594,0.08555290548146181,0.6697659579316788,0.9844576941113419,0.5075291842232507,0.3828105926513672,64.86133050918579
data_CICIoT2023.csv,DIF,StandardScaler,5,62.42403178159209,98.26452773099521,51.06012393233964,0.062058494267965884,0.6670312891684328,0.9804381322435854,0.5054569316847413,0.3807029724121094,64.99196600914001
data_CICIoT2023.csv,DIF,QuantileTransformer,0,87.64509313521688,99.53769919797635,52.7616814603919,0.16151816840509864,0.6786080535995077,0.9974542774837543,0.5142294674310977,0.38401246070861816,62.40356516838074
data_CICIoT2023.csv,DIF,QuantileTransformer,1,87.35814787388654,99.52722918509316,52.73488527884776,0.1599518743241989,0.6784257423486247,0.9971863066925705,0.5140913172618636,0.3753182888031006,61.60195994377136
data_CICIoT2023.csv,DIF,QuantileTransformer,3,87.32803773017586,99.52012378705611,52.74158432423379,0.16034344784442384,0.6784713201613455,0.9972532993903664,0.5141258548041722,0.38080739974975586,62.011032581329346
data_CICIoT2023.csv,DIF,QuantileTransformer,5,87.08616760314133,99.51555493873865,52.80857477809412,0.16425918304667317,0.6789270982885531,0.9979232263683259,0.514471230227257,0.3821120262145996,61.875659227371216
data_CICIoT2023.csv,DIF,MinMaxScaler,0,81.85395227164646,99.2859568517895,52.54731200803885,0.14898781575790082,0.6771495635924432,0.9953105111542841,0.5131242660772259,0.37358713150024414,59.73142409324646
data_CICIoT2023.csv,DIF,MinMaxScaler,1,81.84116073128206,99.2652538584732,52.65449673421537,0.15525299208149973,0.6778788085959755,0.9963823943190192,0.5136768667541618,0.37977051734924316,60.245097398757935
data_CICIoT2023.csv,DIF,MinMaxScaler,3,80.14728785995038,99.21650026160025,52.55401105342489,0.14937938927812575,0.677195141405164,0.9953775038520801,0.5131588036195345,0.3897087574005127,60.49598979949951
data_CICIoT2023.csv,DIF,MinMaxScaler,5,81.21349744019696,99.23896304605653,52.54731200803885,0.14898781575790082,0.6771495635924432,0.9953105111542841,0.5131242660772259,0.37852954864501953,59.467031955718994
data_CICIoT2023.csv,DIF,Normalizer,0,31.323082263672557,95.67557713685463,47.99196114553676,-0.11728217799505303,0.6461566509423213,0.9497554766530448,0.4896387373074532,0.38135838508605957,48.29328632354736
