Model,data_BoTIoT.csv_AUCROC,data_BoTIoT.csv_AUCPR,data_BoTIoT.csv_Accuracy,data_BoTIoT.csv_MCC,data_BoTIoT.csv_F1 Score,data_CICIoT2023.csv_AUCROC,data_CICIoT2023.csv_AUCPR,data_CICIoT2023.csv_Accuracy,data_CICIoT2023.csv_MCC,data_CICIoT2023.csv_F1 Score,data_N_BaIoT.csv_AUCROC,data_N_BaIoT.csv_AUCPR,data_N_BaIoT.csv_Accuracy,data_N_BaIoT.csv_MCC,data_N_BaIoT.csv_F1 Score,data_ToNIoT.csv_AUCROC,data_ToNIoT.csv_AUCPR,data_ToNIoT.csv_Accuracy,data_ToNIoT.csv_MCC,data_ToNIoT.csv_F1 Score
ourmodel,91.72672964052916,98.81763549847432,90.60293886942424,0.0735507109246495,0.9506982358912454,94.4800780605247,99.81991202176816,96.9652816158368,0.374896154379255,0.984592622825366,99.52500926287806,99.9371555642632,90.33378961777404,0.5241933495670322,0.94921442797079,99.9659400544959,99.99179790026248,99.98901822973863,0.999427486560389,0.9999384829905468
AE1SVM,78.34698223333974,96.10401276380765,29.98779850095869,0.0772282464708819,0.3811284706172383,86.27010412704847,99.48896306083144,67.50293083235638,0.2038984715395495,0.7994874550489811,78.9231533439991,97.23822076033208,51.693517251061735,0.222433191426019,0.6416725246686974,53.64368261088435,88.35331262968893,24.644711669855152,0.046168880238565,0.2734997694486529
ALAD,49.67469195190957,90.66552311374387,17.78978560223113,-0.0036070688906953,0.185929301297984,37.59659682927728,95.55030987061232,6.099480823982582,-0.034438397800526,0.0655956269582027,39.615635999997096,87.14484052082992,12.295110736723878,-0.0801213755601592,0.0815261339410424,47.59287155787531,87.30535842448337,18.46132823175731,-3.524667071570294e-05,0.1598141368628555
AutoEncoder,80.70904724235493,96.81295198440448,42.86560920341642,0.0772282464708819,0.5469272661930169,88.99596527907522,99.60257354576908,79.13917266789483,0.2773541460893013,0.8799213357498168,59.48672792593115,94.62383422211909,51.602260362921626,0.2186755189921728,0.6410516725237537,54.988225181817576,88.77537390227374,24.289423339710304,0.0448739588802963,0.2671780966867271
CBLOF,58.831793271046685,91.03168446004923,17.559700191737843,-0.0140071663893795,0.1831997789444597,85.67455960033661,99.4592945682741,63.413163624183554,0.189310323684007,0.7682810411760962,60.18030935613865,95.2113502483266,54.26625952055035,0.2337861800070512,0.6674663127807269,51.90744664879087,87.01930889761458,14.471166985515168,-0.0766901354133238,0.0826615858126923
COPOD,40.75754530747796,84.77756916120246,7.230259717622451,-0.4622219322168852,0.0020251265704106,22.10978077898756,93.5442074287908,10.89264779768883,-0.2078139636144725,0.1726636603949619,1.558371199769932,76.30500822595731,4.18728721350602,-0.7261959897591197,0.0020472325802442,24.613499658723125,80.38064992064048,20.90051926755944,-0.1898713845750683,0.2565024725451159
DeepSVDD,88.36483013704488,97.8975217182768,60.35907268607286,0.0772282464708819,0.7235284106105181,76.04589337888865,98.84174485565109,34.52687991961145,0.0815912618593511,0.4929573811314882,67.75096968821101,95.58329389204076,51.67245796918325,0.2231120612024272,0.6413855970829535,64.19117696093619,91.23209656161876,26.25717409128177,0.0608893922340884,0.2997469668461688
DevNet,40.41457393510501,87.47646360268175,10.193480913369356,-0.1418411046382785,0.0360710944808232,78.99696920608193,98.90965841173266,52.74493384692681,0.143065009772896,0.6791886483536475,78.24064317144148,94.2400098291686,16.61928328244007,-0.0091260319938635,0.1642274134534196,53.7853413516727,87.64796744589444,18.00355288330145,-0.0187075077671795,0.1537268175728086
ECOD,42.37893228999637,84.47710903472714,8.073906222764512,-0.3793446387323883,0.0180240569023945,28.44296172803322,94.26325399326343,8.437447663707921,-0.1651403294435089,0.1222707423580786,6.638050122404753,78.04998591461212,8.188550770418729,-0.4814555958120116,0.0676504134587967,19.598545477419044,78.74320260939814,20.08062312107133,-0.2384541015675685,0.2530174340634779
HBOS,86.40920260264112,97.7112976511242,60.42879553773749,0.0772282464708819,0.7245504622776577,77.251211439754,98.91368161331252,48.83604086417685,0.123315086832288,0.6434656770067455,31.31799382565874,89.84050110900425,8.371064546698957,-0.3106287931969539,0.0,43.82893097880227,83.88973703963026,10.95927849139109,-0.2437547007549751,0.0062528595394235
IForest,67.46310050670257,91.9286484169846,16.433676137354016,-0.0187496652852218,0.1611785701788151,79.90262904678606,98.9308206121876,43.25573605761178,0.1110983174818067,0.5882610280714546,32.48082083444385,87.79835195646281,8.462321434839073,-0.2957730475331232,0.0,61.06584634051519,90.07426174310602,22.45148947799945,0.0345191949499732,0.2343497031840259
KNN,68.57508534125813,89.98776448770911,8.380686770088897,-0.3159789413718763,0.0007604273601764,81.88673227087521,99.3738541909208,72.85211857310333,0.2313502007724162,0.8378837883788379,54.6281386416304,90.52882019863422,8.472851075778316,-0.2940124399665094,0.0,85.52108526947355,96.14435278402448,61.382891500409954,0.3022739673521259,0.7250170283156563
LODA,68.39680371154299,93.87611256091805,26.93742374063099,0.0772282464708819,0.3352153777834168,54.08153060267743,97.0253027025898,10.031820465583657,-0.0178335032899625,0.1400397003265672,81.16931362559905,97.47469947391738,54.3680460496297,0.23996695580704,0.6679776285210817,38.59632830420809,82.02302495330049,10.856791473080078,-0.262258077362443,0.0091136933242196
LOF,62.21433305539521,94.68047331162634,44.97123932368834,0.0772282464708819,0.5702774072360003,84.50238761364903,99.4025222532607,70.05861664712778,0.2185392886775153,0.8181022729585088,83.91224476012516,98.19164871364056,74.82011863395458,0.3852195457824531,0.8408959858061655,80.59706240545495,96.01909118693152,62.84503962831375,0.3122044600870741,0.7382556796303428
MO_GAAL,40.093298840499145,87.24822735806201,10.064493637789786,-0.1514628758774135,0.0339275014979029,21.198269488967806,93.85231081141026,5.2554011053424885,-0.0988150888405271,0.0523318145269364,59.63458313755593,91.21277309244944,10.806921483977398,-0.1186546464600005,0.0505865650452066,53.349287373873096,88.06475088184304,15.550696911724517,0.0295559375331763,0.0893015030946065
OCSVM,49.287842701273526,90.4799626401044,18.633432107373192,0.0100756696410361,0.2000822537528274,77.55666744379332,99.07911191141486,53.97755819795679,0.1478492442628153,0.6901357629335619,80.35540225811535,97.46063225199588,54.31188796462041,0.2340667112783441,0.6679082582850728,48.7655658572448,87.95683983126555,22.294342716589234,0.0344887568667674,0.2312943562014194
PCA,84.93656810553097,97.3958341719251,42.04985183894021,0.0772282464708819,0.5370540563121396,77.15692701584824,98.93272931249184,42.74325908558031,0.1041885658298149,0.5832764505119454,69.41096551969551,95.97079300823955,51.693517251061735,0.2240412686699965,0.6415231943323002,54.42429826463368,87.93060943527897,15.489204700737908,-0.0583414291982734,0.1041500688056782
Thua bao nhieu,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
